id,dtegranted,code,objectid,applno,parties,typegroup,group4,dtepegged,group3,group2,commoditiescd,archived,renewal,areaunit,group5,acccode,comments,interest,type,statusgrp,status,guidshape,typecode,mapref,guidlicense,part,dteexpires,areavalue,dterenewal,jurisdic,respoffice,name,guidpart,region,oldcode,commodities,group1,dteapplied
573,2015-08-16T01:00:00,12177,62658, KIN/20100810/143002,SODIFOR SPRL (100%),Recherches,,,,,,,0,Carré,,,"Inscription de la prorogation de la durée de validité:16/12/2013
Archivage Electronique",,Permis de Recherches (AS),Active,Actif,0bf453f1-df74-457f-9ed3-ac71ccbc2122,PR (AS),"Congo, DRC; Katanga; Haut-Katanga; Sakania; S13/28",d6cad86f-05d3-4209-81dc-856323fc367b,Part 1,2017-02-11T00:00:00,288,,R.D. Congo,KIN,,597a6348-ede8-47e1-bfea-0f9d89e40864,Katanga,ZER-LIV,,,2010-08-10T15:30:02
574,2007-05-31T01:00:00,3387,62670,3387,LONCOR RESOURCES CONGO Sprl (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif-En Force Majeure,91284959-5bc5-4861-8bc3-95fb01db74c0,PR (AS),"Congo, DRC; Nord Kivu; Nord Kivu; Walikale; S1/28",e4909e39-f94b-461c-a8ca-c6efdb775e5d,Part 1,2014-05-16T01:00:00,384,,R.D. Congo,,,7e2b538a-d4ae-4c5b-bd26-dca12e1371f0,Nord Kivu,,,,2005-04-07T01:00:00
575,2007-08-18T01:00:00,8501,62692,8501,"LA GENERALE DES MINES , D'AGRICULTURE ET DU COMMERCE (100%)",Recherches,,,,,,,0,Carré,,,"PR 7971, 7972 et 8501 Dépôt tardif de renouvellement
DT/T 25/05/2012",,Permis de Recherches (AS),Active,Actif-En Renouvellement,3845367b-8582-4fe0-9f8c-b64752cf22a5,PR (AS),"Congo, DRC; S2/28, Sud Kivu; Sud Kivu; Kalehe",fe4b2673-3964-4f71-b0e7-ddc1c2dcd6e7,Part 1,2012-08-17T01:00:00,7,,R.D. Congo,KIN,,e2532a85-565b-4de8-81ad-086f910c83fa,Sud Kivu,,,,2007-06-11T01:00:00
576,2008-10-24T01:00:00,1392,62697,1392,LONCOR RESOURCES CONGO Sprl (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif-En Force Majeure,61e0a455-3580-47cb-977d-cc17cf7560f6,PR (AS),"Congo, DRC; Nord Kivu; Nord Kivu; Lubero, Walikale; S1/28",22fbe4a7-15ed-4a8b-b360-80e1f93a138f,Part 1,2012-10-10T01:00:00,139,,R.D. Congo,KIN,,43aa4de5-b67c-4474-9004-489d9579f47c,Nord Kivu,,,,2003-07-15T01:00:00
577,2013-11-11T00:00:00,809,62731,809,IVANPLATS DRC EXPLORATION SPRL (100%),Recherches,,,,,,,2,Carré,,,,,Permis de Recherches (AS),Active,Actif,638f189d-d29f-4c7c-aec1-a9b3a2f8501c,PR (AS),"Congo, DRC; Katanga; Haut-Katanga; Kambove; S11/27, S12/27",74a0e92f-b0af-42f8-b529-88b51094d516,Part 1,2018-11-10T00:00:00,116,,R.D. Congo,KIN,,c7cf6f4a-4563-4db3-bce3-eb876a81c815,Katanga,,,,2003-06-25T01:00:00
578,2005-09-19T01:00:00,4147,62733,4147,GEM DIAMOND MINING COMPANY OF AFRICA Sprl (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif-Transformation PR en PE,601d87a3-2623-4338-9edc-f4c861d999bf,PR (AS),"Congo, DRC; Kasai Occidental; Kasai; S7/21",6cb10136-5ac5-4d33-93b9-0499297fe2c5,Part 1,2010-09-18T01:00:00,14,,R.D. Congo,,,dfa2f9bc-1c37-4b8f-9169-e639b31f2bbb,Kasai Occidental,,,,2005-06-01T01:00:00
579,2006-07-30T01:00:00,5214,62745,5214,INFINITY RESSOURCES (100%),Recherches,,,,,,,0,Carré,,,"à DT/T
Opposition de transfert de 5214, 5215, 5216 et 5217 au bénéfice de MIKUBA MINING SPRL.
DT/26-08-2010",,Permis de Recherches (AS),Active,Actif-En Force Majeure,d6bfb854-5ce7-470e-9219-133b631a320d,PR (AS),"Congo, DRC; Katanga; Haut-Katanga; Kasenga; S12/27",49511e3e-85d9-475b-8b24-e424047b7c77,Part 1,2011-07-29T01:00:00,116,,R.D. Congo,KIN,,a7fc35b5-bb98-471f-bcfc-61a20e40a3a6,Katanga,,,,2006-06-02T01:00:00
580,2010-11-11T00:00:00,4341,62746,4341,KANAA (100%),Recherches,,,,,,,1,Carré,,,,,Permis de Recherches (AS),Active,Actif,5b70fb9b-7664-4602-ac40-133cf2071711,PR (AS),"Congo, DRC; Bas-Congo; Bas-Fleuve; Seke-Banza; S6/13",400e3f51-0935-4c48-a6be-33650d3644a1,Part 1,2015-11-10T00:00:00,170,,R.D. Congo,KIN,,02054246-26df-421f-9db2-27bdef9032fc,Bas-Congo,,,,2005-06-24T01:00:00
581,2007-05-07T01:00:00,6558,62761,6558,NAKO MINES (100%),Recherches,,,,,,,0,Carré,,,"Titre en déchéance et ayant atteint sa fin de validité
Titre à radier
Admin_30/05/2012",,Permis de Recherches (AS),Active,Actif-Levée de Force Majeure,2aac4975-a83d-4a88-bda2-e7a05fc5d36c,PR (AS),"Congo, DRC; Maniema; Maniema; Lubutu; Province Orientale; Tshopo; Ubundu; S1/26",6cd986a3-10c6-4236-a304-07108f52724a,Part 1,2014-01-31T00:00:00,460,,R.D. Congo,KIN,,a77591d9-8776-42d3-83a3-230f9b51ae58,Maniema,,,,2006-09-26T01:00:00
582,2005-07-15T01:00:00,3544,62773,3544,KUMPALA DIAMOND RESOURCES DRC SARL (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif-Transformation PR en PE,eb5e99dc-30e5-41d9-b15b-b4e1b488ec16,PR (AS),"Congo, DRC; Kasai Occidental; Kasai; S7/20",07ce9c19-ba6e-4308-a52b-c5b328bdc0b6,Part 1,2010-07-14T01:00:00,12,,R.D. Congo,KIN,,843e7fa2-ef48-4cff-afde-5948e912ab30,Kasai Occidental,,,,2005-04-11T01:00:00
583,2011-04-12T01:00:00,1689,62793,,ANVIL MINING CONGO Sarl (100%),Recherches,,,,,,,1,Carré,,,,,Permis de Recherches (AS),Active,Actif-En Convention,15866b47-520b-4534-98c4-5172cbce45fa,PR (AS),"Congo, DRC; Katanga; Haut-Katanga; Pweto; S9/28, S9/29",5007120d-2c47-42bf-90d2-ed14b1643d69,Part 1,2016-04-11T01:00:00,471,,R.D. Congo,KIN,,0b6d9552-ed79-4415-ad8b-4f5847fd178b,Katanga,AXI/KT,,,1900-01-01T00:00:00
584,2006-09-04T01:00:00,5320,62824,5320,MINIERE DU MANIEMA Sprl (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif-Levée de Force Majeure,51ae6650-576b-4582-a48e-b78a039d56d5,PR (AS),"Congo, DRC; Maniema; Maniema; Lubutu, Punia; S2/26",0a71fe81-4090-45c5-b525-14776a988276,Part 1,2013-06-24T01:00:00,460,,R.D. Congo,,,f26c76cb-749b-4ea1-9771-9b6105341e88,Maniema,,,,2006-07-28T01:00:00
585,2010-08-04T01:00:00,12083,62839, KIN/20100527/132003,SOCIETE MINIERE DE BAKWANGA ''MIBA'' (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,357db73c-bb8d-414a-b103-3f251f92a049,PR (AS),"Congo, DRC; Kasai Occidental; Lulua; Kazumba, Luiza; S7/22",6bcb75ed-1657-475c-a37b-d2a833a0f4e0,Part 1,2015-08-03T01:00:00,410,,R.D. Congo,KIN,,90208f08-9709-48a4-a5ec-2eb91a9a64cf,Kasai Occidental,,,,2010-06-02T14:20:03
586,2009-03-10T00:00:00,1714,62844,1714,BANRO CONGO MINING Sarl (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif-En Force Majeure,72d813e2-38a8-446f-8a69-f3119b81ce04,PR (AS),"Congo, DRC; N0/28, Nord Kivu; Nord Kivu; Lubero; Province Orientale; Ituri; Mambasa",c5c8ce9c-54d0-4b00-bfc7-3727edfbdbc7,Part 1,2013-12-27T00:00:00,140,,R.D. Congo,KIN,,93799371-50e1-4cba-ae25-e9a9a551dd81,Nord Kivu,,,,2003-10-17T01:00:00
587,2010-07-09T01:00:00,11888,62867, 11888,SOCIETE MINIERE DE BAKWANGA ''MIBA'' (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,cb016202-3899-40f8-81d7-9cb7a926af0c,PR (AS),"Congo, DRC; Kasai Occidental; Lulua; Luiza; S8/22",75d17e19-64b3-4f38-93cf-77bcf5808a16,Part 1,2015-07-08T01:00:00,460,,R.D. Congo,KIN,,5d179f35-f5c0-4e81-b13c-875154acab81,Kasai Occidental,,,,2010-01-20T09:00:30
588,2006-10-02T01:00:00,6225,62874,6225,"SOCIETE COMMERCIALE LA MINIERE DE KISENGE ""MANGANESE"" SARL (100%)",Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif-En Convention,c91ebeda-43e6-4ae1-a506-59145a44fa50,PR (AS),"Congo, DRC; Katanga; Lualaba; Sandoa; S10/22",2b0b9e6f-5a08-495e-9fae-f08ac00d8c52,Part 1,2011-10-01T01:00:00,110,,R.D. Congo,KIN,,f8dd4a32-8340-4ccd-88b1-9319b94b8137,Katanga,,,,2006-08-08T01:00:00
589,2010-05-28T01:00:00,11889,62894, 11889,SOCIETE MINIERE DE BAKWANGA ''MIBA'' (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,91bc9e2f-bad8-4b09-a6de-7d37adebf70f,PR (AS),"Congo, DRC; Kasai Occidental; Lulua; Luiza; S8/22",2ac75e5e-a51a-48e0-915b-8ac62157cd56,Part 1,2015-05-27T01:00:00,460,,R.D. Congo,KIN,,b243a283-82b2-4aca-8e59-b7b7c105c2f9,Kasai Occidental,,,,2010-01-20T09:00:31
590,2015-08-16T01:00:00,12185,62916, KIN/20100810/143502,SODIFOR SPRL (100%),Recherches,,,,,,,0,Carré,,,"Archivage electronique:16/12/2013
prorogation de la durée de validité:16/08/2015 au 11/02/2017",,Permis de Recherches (AS),Active,Actif,7cf96ba5-ee2d-47d8-91b4-a65b66e8ddff,PR (AS),"Congo, DRC; Katanga; Haut-Katanga; Sakania; S14/29",bf15bff4-a4e5-4a63-982a-4e6d9955730f,Part 1,2017-02-11T00:00:00,342,,R.D. Congo,KIN,,f4a12951-cc3f-4cd5-96a2-2543c5ecf953,Katanga,ZER-LVIII,,,2010-08-10T15:35:02
591,2006-07-30T01:00:00,5217,62931,5217,INFINITY RESSOURCES (100%),Recherches,,,,,,,0,Carré,,,"à DT/T
Opposition de transfert de 5214, 5215, 5216 et 5217 au bénéfice de MIKUBA MINING SPRL.
DT/26-08-2010",,Permis de Recherches (AS),Active,Actif-En Force Majeure,e6f6ae70-cbbf-40e0-b6d0-4577fedd85a2,PR (AS),"Congo, DRC; Katanga; Haut-Katanga; Kipushi; S12/27",43027651-0ee9-40c1-8329-6c88f69940c3,Part 1,2011-07-29T01:00:00,164,,R.D. Congo,KIN,,2ea1b422-965b-4093-9395-6294c6c84e9a,Katanga,,,,2006-06-02T01:00:00
592,2010-05-28T01:00:00,11886,62937, 11886,SOCIETE MINIERE DE BAKWANGA ''MIBA'' (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,ebf9e166-d386-4e9a-a7e8-325be1deeb0d,PR (AS),"Congo, DRC; Kasai Occidental; Lulua; Kazumba, Luiza; S8/22",b4d878b0-46ca-4aea-ba96-398ecd9a0935,Part 1,2015-05-27T01:00:00,460,,R.D. Congo,KIN,,9e4b4fd8-ca6a-478c-a360-d5b435cbb406,Kasai Occidental,,,,2010-01-20T09:00:28
593,2010-05-28T01:00:00,11887,62938, 11887,SOCIETE MINIERE DE BAKWANGA ''MIBA'' (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,ed5a79a4-2517-4dec-b695-f4c63c748722,PR (AS),"Congo, DRC; Kasai Occidental; Lulua; Luiza; S8/22",cec60963-a0da-4c0b-bc11-c3c3795ea971,Part 1,2015-05-27T01:00:00,460,,R.D. Congo,KIN,,7e2d029f-4d0c-4941-9bb4-9cb61f0b7c7a,Kasai Occidental,,,,2010-01-20T09:00:29
594,2010-05-27T01:00:00,11891,62940, 11891,SOCIETE MINIERE DE BAKWANGA ''MIBA'' (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,97146ec7-dbac-441c-9b28-9b5a2735528e,PR (AS),"Congo, DRC; Kasai Occidental; Lulua; Kazumba, Luiza; S8/22",79787ef5-135d-4bc7-86de-41b38c0e2985,Part 1,2015-05-26T01:00:00,468,,R.D. Congo,KIN,,a47b4c6d-45bc-4122-881e-836ec5a1ab6f,Kasai Occidental,,,,2010-01-20T09:00:33
595,2010-05-28T01:00:00,11892,62941, 11892,SOCIETE MINIERE DE BAKWANGA ''MIBA'' (100%),Recherches,,,,,,,0,Carré,,,,,Permis de Recherches (AS),Active,Actif,198e465b-abd7-4854-82b5-622042a4291c,PR (AS),"Congo, DRC; Kasai Occidental; Lulua; Luiza; S8/22",08cdf02d-c52a-4345-b8ee-875bca718739,Part 1,2015-05-27T01:00:00,460,,R.D. Congo,KIN,,49d711d5-43ac-4a45-b477-92caccbe338a,Kasai Occidental,,,,2010-01-20T09:00:34
