id,status,dtegranted,archived,code,LayerName,objectid,areaunit,dteapplied,LayerID,commodities,part,parties,dteexpires,areavalue,type,commoditiescd
1679,Active,2013-01-23T00:00:00,False,PML000754SZ,Active PML Licenses,70582,Hectares,2011-03-09T11:45:00,4,Gypsum,Part 1,"Salim M. Said (33%), Adam A. Omari (33%), Moshi Y. Ruhiso (33%)",2020-01-22T00:00:00,9.48,Primary Mining Licence - All Minerals other than Building Material,Gypsum
1680,Active,2013-02-05T00:00:00,False,PML000750SZ,Active PML Licenses,70583,Hectares,2011-03-09T11:45:00,4,Gypsum,Part 1,"Salim M. Said (33%), Adam A. Omari (33%), Moshi Y. Ruhiso (33%)",2020-02-04T00:00:00,9.46,Primary Mining Licence - All Minerals other than Building Material,Gypsum
1681,Active,2011-12-19T00:00:00,False,PML000193LZ,Active PML Licenses,70593,Hectares,2010-10-26T08:30:00,4,Gold,Part 1,"Yusuph  Bukundi (8%), Suleman Majanjara (8%), Amosi Muja Nilla (8%), Sadamu Majanjara (8%), Detol Zablon (8%), Lawrence Nyarusanda Zakayo (8%), Robert Sitta (8%), Ibrahimu Kafwinda (8%), Robert Majanjara (8%), Mafuru Mugini (8%), Marwa Marwa Bwiru (8%), ",2018-12-18T00:00:00,9.99,Primary Mining Licence - All Minerals other than Building Material,Au
1682,Active,2011-12-19T00:00:00,False,PML000195LZ,Active PML Licenses,70595,Hectares,2010-10-26T08:30:00,4,Gold,Part 1,"Yusuph  Bukundi (8%), Suleman Majanjara (8%), Amosi Muja Nilla (8%), Sadamu Majanjara (8%), Detol Zablon (8%), Lawrence Nyarusanda Zakayo (8%), Robert Sitta (8%), Ibrahimu Kafwinda (8%), Robert Majanjara (8%), Mafuru Mugini (8%), Marwa Marwa Bwiru (8%), ",2018-12-18T00:00:00,9.99,Primary Mining Licence - All Minerals other than Building Material,Au
1683,Active,2011-12-19T00:00:00,False,PML000194LZ,Active PML Licenses,70597,Hectares,2010-10-26T08:30:00,4,Gold,Part 1,"Yusuph  Bukundi (8%), Suleman Majanjara (8%), Amosi Muja Nilla (8%), Sadamu Majanjara (8%), Detol Zablon (8%), Lawrence Nyarusanda Zakayo (8%), Robert Sitta (8%), Ibrahimu Kafwinda (8%), Robert Majanjara (8%), Mafuru Mugini (8%), Marwa Marwa Bwiru (8%), ",2018-12-18T00:00:00,9.99,Primary Mining Licence - All Minerals other than Building Material,Au
1684,Active,2013-09-25T01:00:00,False,PML003388SZ,Active PML Licenses,70598,Hectares,2012-01-05T10:00:00,4,Copper,Part 1,Inihonatta Bussiness Services Ltd. (100%),2020-09-24T01:00:00,9.86,Primary Mining Licence - All Minerals other than Building Material,Cu
1685,Active,2013-09-25T01:00:00,False,PML003389SZ,Active PML Licenses,70599,Hectares,2012-01-05T10:00:00,4,Copper,Part 1,Inihonatta Bussiness Services Ltd. (100%),2020-09-24T01:00:00,9.85,Primary Mining Licence - All Minerals other than Building Material,Cu
1686,Active,2013-09-25T01:00:00,False,PML003390SZ,Active PML Licenses,70600,Hectares,2012-01-05T10:00:00,4,Copper,Part 1,Inihonatta Bussiness Services Ltd. (100%),2020-09-24T01:00:00,9.85,Primary Mining Licence - All Minerals other than Building Material,Cu
1687,Active,2013-06-24T01:00:00,False,PML008242EZ,Active PML Licenses,70601,Hectares,2012-01-20T09:00:00,4,Building Materials,Part 1,"Nestory Makoye (34%), Phaustine Mlamka (33%), Zainab Seif (33%)",2020-06-23T01:00:00,5.0,Primary Mining Licence - Building Material,BM
1688,Active,2012-08-17T01:00:00,False,PML003768EZ,Active PML Licenses,70609,Hectares,2012-02-20T12:50:00,4,Gold,Part 1,"Nassoro Issa (33%), Mwamvita.A. Munga (33%), Salim Mohamedi (33%)",2019-08-16T01:00:00,9.44,Primary Mining Licence - All Minerals other than Building Material,Au
