id,status,dtegranted,code,objectid,dteapplied,LayerID,commodities,parties,dteexpires,LayerName,type,commoditiescd
98,Active,2008-11-01T00:00:00,270,441,2007-11-05T12:45:00,0,CARBON DIOXIDE,CARBACID (CO2) LTD (100%),2012-10-31T00:00:00,Active EPL/SPL,Special Prospecting License,CO2
99,Active,1997-04-01T01:00:00,S L 251,447,1997-03-27T14:29:53,0,IRON ORE,WANJALA MINING COMPANY LIMITED (100%),2013-08-31T01:00:00,Active EPL/SPL,Special Prospecting License,Fe
100,Active,2012-11-23T00:00:00,340,453,2012-05-24T10:00:00,0,MANGANESE,STOUT MINERAL RESOURCES LTD (100%),2014-11-22T00:00:00,Active EPL/SPL,Special Prospecting License,Mn
101,Active,,282,454,2012-08-07T10:54:40,0,GYPSUM,OMASCO LIMITED (100%),,Active EPL/SPL,Special Prospecting License,Gy
102,Active,2008-04-01T01:00:00,256,459,2008-01-01T09:00:00,0,RARE EARTHS,CORTEC MINING (K) LTD (100%),2014-03-31T01:00:00,Active EPL/SPL,Special Prospecting License,RE
103,Active,1996-10-01T01:00:00,170,471,1996-01-01T09:00:00,0,TITANIUM,TIOMIN KENYA LTD (100%),2013-09-30T01:00:00,Active EPL/SPL,Special Prospecting License,Ti
104,Active,1996-04-01T01:00:00,157,472,1996-01-01T09:00:00,0,TITANIUM,TIOMIN KENYA LTD (100%),2014-03-31T01:00:00,Active EPL/SPL,Special Prospecting License,Ti
105,Active,1996-04-01T01:00:00,158,473,1996-01-01T09:00:00,0,TITANIUM,TIOMIN KENYA LTD (100%),2014-03-31T01:00:00,Active EPL/SPL,Special Prospecting License,Ti
106,Active,1988-03-29T01:00:00,123,479,1988-03-01T09:20:00,0,ALL MINERALS,AFRIORE INTERNATIONAL (BARBADOS) LTD (100%),2014-03-28T00:00:00,Active EPL/SPL,Special Prospecting License,ALL
107,Active,1995-02-01T00:00:00,202,480,1995-01-01T09:00:00,0,ALL MINERALS,MID MIGORI MINING COMPANY LTD (100%),2013-01-31T00:00:00,Active EPL/SPL,Special Prospecting License,ALL
108,Active,1988-04-01T01:00:00,122,481,1988-01-01T09:00:00,0,"NON PRECIOUS MINERALS, PRECIOUS METALS",MID MIGORI MINING COMPANY LTD (100%),2014-03-31T01:00:00,Active EPL/SPL,Special Prospecting License,"NON, PM"
109,Active,1983-08-01T01:00:00,79,484,1983-01-01T09:00:00,0,LEAD,ATHI RIVER MINING LTD (100%),2014-07-31T01:00:00,Active EPL/SPL,Special Prospecting License,Pb
110,Active,1997-04-01T01:00:00,173,485,1996-01-01T09:00:00,0,TITANIUM,TIOMIN KENYA LTD (100%),2013-03-31T00:00:00,Active EPL/SPL,Special Prospecting License,Ti
111,Active,2005-11-01T00:00:00,232,500,2005-03-23T16:30:00,0,GYPSUM,Yamata Gypsum Ltd (100%),2011-10-31T00:00:00,Active EPL/SPL,Special Prospecting License,Gy
112,Active,2005-10-01T01:00:00,227,541,2005-01-01T09:00:00,0,"BASE MINERALS, PRECIOUS METALS",KENYA DISCOVERY LTD (100%),2013-09-30T01:00:00,Active EPL/SPL,Special Prospecting License,"BM, PM"
113,Active,2012-12-14T00:00:00,362,575,2011-10-13T11:30:00,0,CARBON DIOXIDE,OLOLUNGA MINING & INDUSTRY LTD (100%),2014-12-13T00:00:00,Active EPL/SPL,Special Prospecting License,CO2
114,Active,2005-06-13T01:00:00,225,576,2003-06-20T17:15:00,0,INDUSTRIAL MINERALS,OLOLUNGA MINING & INDUSTRY LTD (100%),2014-06-01T01:00:00,Active EPL/SPL,Special Prospecting License,IND
115,Active,2009-09-29T01:00:00,286,580,2008-06-05T12:40:00,0,ALL MINERALS,EAST AFRICA HEAVY MACHINERY LTD (100%),2013-09-28T01:00:00,Active EPL/SPL,Special Prospecting License,ALL
116,Active,2009-07-07T01:00:00,282,609,2008-01-08T16:25:00,0,GYPSUM,Adco Group of Company (100%),2013-07-06T01:00:00,Active EPL/SPL,Special Prospecting License,Gy
117,Active,2012-11-07T00:00:00,338,614,2011-03-07T14:00:00,0,GOLD,DUMA GOLD LTD (100%),2014-11-06T00:00:00,Active EPL/SPL,Special Prospecting License,Au
118,Pending Renewal,2007-05-02T01:00:00,240,631,2004-10-06T13:17:41,0,"BASE MINERALS, GOLD",BWAYOKAR ENTERPRISES (100%),2009-05-01T01:00:00,Active EPL/SPL,Special Prospecting License,"Au, BM"
119,Active,2005-03-07T00:00:00,223,689,2003-08-27T15:30:37,0,"GYPSUM, NON PRECIOUS MINERALS",Balham Trading Company Ltd (100%),2013-03-01T00:00:00,Active EPL/SPL,Special Prospecting License,"Gy, NON"
120,Active,2010-05-31T01:00:00,291,693,2008-07-08T17:50:00,0,"BASE MINERALS, NON PRECIOUS MINERALS, PRECIOUS METALS",NAZARETH EXPLORATIONS LIMITED (100%),2014-05-30T01:00:00,Active EPL/SPL,Special Prospecting License,"BM, NON, PM"
121,Active,2008-04-01T01:00:00,258,719,2005-02-08T11:27:34,0,"BASE MINERALS, PRECIOUS METALS",EAST AFRICAN PURE GOLD (100%),2014-03-31T01:00:00,Active EPL/SPL,Special Prospecting License,"BM, PM"
122,Active,2012-03-23T00:00:00,325,724,2011-06-03T11:10:02,0,ALL MINERALS,Weka Habari Ltd (100%),2014-03-22T00:00:00,Active EPL/SPL,Special Prospecting License,ALL
123,Active,2012-06-22T01:00:00,331,739,2011-07-21T17:05:00,0,GYPSUM,NGUVU CONSTRUCTION AND MINING LIMITED (100%),2014-06-21T01:00:00,Active EPL/SPL,Special Prospecting License,Gy
124,Active,2013-05-09T01:00:00,358,801,2012-12-05T10:00:18,0,MANGANESE,Nobis Company Ltd (100%),2015-05-08T01:00:00,Active EPL/SPL,Special Prospecting License,Mn
125,Active,2010-12-18T00:00:00,300,825,2010-04-15T11:00:00,0,VERMICULITE,Procerv Development Ltd (100%),2012-04-17T01:00:00,Active EPL/SPL,Special Prospecting License,Vm
126,Active,2009-07-07T01:00:00,281,849,2007-08-05T11:15:00,0,"NON PRECIOUS MINERALS, PRECIOUS METALS",MAYFOX COMPANY LTD (100%),2015-07-06T01:00:00,Active EPL/SPL,Special Prospecting License,"NON, PM"
127,Active,2009-07-07T01:00:00,281,852,2007-08-05T11:15:00,0,"NON PRECIOUS MINERALS, PRECIOUS METALS",MAYFOX MINING COMPANY LTD (100%),2015-07-06T01:00:00,Active EPL/SPL,Special Prospecting License,"NON, PM"
128,Active,1997-07-01T01:00:00,182,854,1997-06-11T10:00:00,0,GYPSUM,MAHMOUD KASSIM MIYANJI (100%),2013-06-30T01:00:00,Active EPL/SPL,Special Prospecting License,Gy
129,Active,2008-10-15T01:00:00,269,885,2007-12-07T13:00:00,0,NON PRECIOUS MINERALS,APEX AFRICA RESOURCE LIMITED (100%),2014-10-14T01:00:00,Active EPL/SPL,Special Prospecting License,NON
130,Active,2011-07-05T01:00:00,313,886,2010-10-06T11:20:00,0,NON PRECIOUS MINERALS,WAKASHA MINING & CONSTRUCTION LTD (100%),2013-07-04T01:00:00,Active EPL/SPL,Special Prospecting License,NON
131,Active,1995-01-01T00:00:00,EPL 233,901,1993-05-14T11:39:06,0,GEMSTONES EXCEPT DIAMONDS,Fatuma Mohamed Haji Adam (100%),2012-12-31T00:00:00,Active EPL/SPL,Exclusive Prospecting License,GS
132,Active,2010-12-02T00:00:00,249,903,2010-01-01T09:00:00,0,COAL,MUI BASIN MINING COMPANY LTD (100%),2014-12-01T00:00:00,Active EPL/SPL,Exclusive Prospecting License,C
133,Active,2014-06-06T01:00:00,277,931,2014-01-06T14:30:00,0,"INDUSTRIAL MINERALS, IRON ORE",SAMRUDDHA  RESOURCES KENYA LTD (100%),2015-06-05T01:00:00,Active EPL/SPL,Exclusive Prospecting License,"Fe, IND"
134,Active,2007-10-01T01:00:00,250,988,2007-07-31T10:00:00,0,ALL MINERALS,KIKISA LTD (100%),2013-09-30T01:00:00,Active EPL/SPL,Special Prospecting License,ALL
135,Active,2007-10-01T01:00:00,250,989,2007-07-31T10:00:00,0,ALL MINERALS,KIKISA LTD (100%),2013-09-30T01:00:00,Active EPL/SPL,Special Prospecting License,ALL
136,Active,1978-07-01T01:00:00,98,1008,1977-05-10T16:19:00,0,GEMSTONES EXCEPT DIAMONDS,AQUA MINES (100%),2013-06-30T01:00:00,Active EPL/SPL,Special Prospecting License,GS
137,Active,1978-07-01T01:00:00,98,1009,1977-05-10T16:19:00,0,GEMSTONES EXCEPT DIAMONDS,AQUA MINES (100%),2013-06-30T01:00:00,Active EPL/SPL,Special Prospecting License,GS
138,Active,1978-07-01T01:00:00,98,1010,1977-05-10T16:19:00,0,GEMSTONES EXCEPT DIAMONDS,AQUA MINES (100%),2013-06-30T01:00:00,Active EPL/SPL,Special Prospecting License,GS
139,Active,2005-10-01T01:00:00,228,1027,2004-05-10T10:00:00,0,ALL MINERALS,COVENANT MINING COMPANY LTD (100%),2013-09-30T01:00:00,Active EPL/SPL,Special Prospecting License,ALL
140,Active,2007-02-01T00:00:00,236,1028,2004-10-12T14:00:00,0,PRECIOUS METALS,NGIRA EXPLORATION AND MINING WORKS LTD (100%),2013-01-31T00:00:00,Active EPL/SPL,Special Prospecting License,PM
141,Active,2010-11-11T00:00:00,296,1068,2011-06-07T15:23:00,0,MANGANESE,DEPARK RAVJI PATEL (100%),2012-11-10T00:00:00,Active EPL/SPL,Special Prospecting License,Mn
